City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Villarrica,PY,-25.75,-56.43,50.32,54,19,9.1,few clouds
112,San Patricio,MX,19.22,-104.7,87.8,66,75,13.87,broken clouds
113,Ngunguru,NZ,-35.62,174.5,57.0,3,0,8.01,clear sky
114,Bandarbeyla,SO,9.49,50.81,76.78,80,4,28.72,clear sky
115,Kamaishi,JP,39.27,141.88,74.43,73,8,5.64,clear sky
116,Nelson Bay,AU,-32.72,152.15,46.4,81,75,10.29,broken clouds
117,Quatre Cocos,MU,-20.21,57.76,72.0,77,75,9.17,broken clouds
118,Agadez,NE,19.75,10.25,93.33,12,6,7.31,clear sky
119,Viedma,AR,-40.81,-63.0,64.0,46,0,1.99,clear sky
120,Springville,US,40.17,-111.61,96.01,27,75,12.75,broken clouds
121,Chokurdakh,RU,70.63,147.92,36.66,92,99,3.65,overcast clouds
122,Charters Towers,AU,-20.1,146.27,56.37,37,16,9.26,few clouds
123,Sola,VU,-13.88,167.55,80.82,86,11,12.37,light rain
124,Victoria,HK,22.29,114.16,82.0,83,93,8.01,overcast clouds
125,Lucapa,AO,-8.42,20.74,77.95,30,61,1.36,broken clouds
126,Praia Da Vitoria,PT,38.73,-27.07,69.8,94,90,11.41,mist
127,Oga,IT,46.46,10.35,66.2,87,23,8.05,few clouds
128,Talnakh,RU,69.49,88.4,57.2,54,35,8.95,scattered clouds
129,Yellowknife,CA,62.46,-114.35,55.99,54,20,6.93,few clouds
130,Chuy,UY,-33.7,-53.46,45.19,63,71,9.08,broken clouds
131,Batticaloa,LK,7.71,81.69,78.85,81,100,8.28,overcast clouds
132,Saskylakh,RU,71.92,114.08,41.07,69,51,6.49,broken clouds
133,Touros,BR,-5.2,-35.46,78.8,78,21,10.29,few clouds
134,Mataura,NZ,-46.19,168.86,46.99,98,100,1.9,overcast clouds
135,Xinpu,CN,34.6,119.16,72.21,95,100,8.66,moderate rain
136,Mwene-Ditu,CD,-7.0,23.45,73.72,67,99,2.68,overcast clouds
137,Mount Gambier,AU,-37.83,140.77,41.0,86,75,8.05,broken clouds
138,Kruisfontein,ZA,-34.0,24.73,55.0,90,100,7.36,light rain
139,Lodja,CD,-3.48,23.43,74.89,74,8,0.81,clear sky
140,Uruzgan,AF,32.83,66.0,64.81,22,0,2.84,clear sky
141,Atbasar,KZ,51.8,68.33,53.78,83,100,12.57,overcast clouds
142,Camacha,PT,33.08,-16.33,75.2,83,40,8.05,scattered clouds
143,Khani,GE,41.96,42.96,73.4,94,55,5.82,light rain
144,Srednekolymsk,RU,67.45,153.68,40.89,71,4,8.1,clear sky
145,Hunchun,CN,42.87,130.36,60.75,64,100,1.16,overcast clouds
146,Sayat,TM,38.78,63.88,77.0,29,0,4.7,clear sky
147,Price,US,39.6,-110.81,93.2,14,1,11.41,clear sky
148,Codrington,AU,-38.27,141.97,41.47,86,37,14.9,light rain
149,Vila Franca Do Campo,PT,37.72,-25.43,69.8,100,75,10.29,light intensity drizzle
150,Fortuna,US,40.6,-124.16,78.01,44,0,8.01,clear sky
151,Ukiah,US,39.15,-123.21,91.0,17,1,17.22,clear sky
152,Grindavik,IS,63.84,-22.43,55.4,71,75,14.99,broken clouds
153,Pangnirtung,CA,66.15,-65.71,48.2,81,75,10.29,broken clouds
154,Beawar,IN,26.1,74.32,79.63,87,100,7.23,light rain
155,Tocopilla,CL,-22.09,-70.2,64.06,49,20,9.31,few clouds
156,Thinadhoo,MV,0.53,72.93,83.8,62,87,2.66,overcast clouds
157,Port Lincoln,AU,-34.73,135.87,50.81,67,95,22.73,overcast clouds
158,Oriximina,BR,-1.77,-55.87,94.37,32,29,6.33,scattered clouds
159,Faanui,PF,-16.48,-151.75,77.58,79,20,25.23,few clouds
160,Gat,IL,31.61,34.76,78.01,41,0,2.3,clear sky
161,Mount Isa,AU,-20.73,139.5,53.6,34,2,3.36,clear sky
162,Conceicao Da Barra,BR,-18.59,-39.73,73.6,81,5,6.6,clear sky
163,Mackay,AU,-21.15,149.2,51.8,62,0,9.17,clear sky
164,College,US,64.86,-147.8,60.8,72,75,1.9,shower rain
165,Leningradskiy,RU,69.38,178.42,45.9,84,96,6.6,overcast clouds
166,Marienburg,PL,54.04,19.03,64.99,100,89,4.03,overcast clouds
167,Cajaruro,PE,-5.74,-78.43,81.14,60,100,2.73,moderate rain
168,Pedernales,DO,18.04,-71.74,87.69,61,72,4.09,light rain
169,Kaitangata,NZ,-46.28,169.85,48.99,91,100,7.0,overcast clouds
170,Mopipi,BW,-21.18,24.88,57.36,55,0,9.53,clear sky
171,Marysville,US,48.05,-122.18,80.01,57,90,11.41,overcast clouds
172,Caravelas,BR,-17.71,-39.25,73.11,81,0,5.64,clear sky
173,Sitka,US,57.05,-135.33,71.6,49,75,10.29,broken clouds
174,Hamilton,US,39.18,-84.53,82.99,42,1,11.41,clear sky
175,East London,ZA,-33.02,27.91,61.95,71,100,14.63,light rain
176,Naron,ES,43.52,-8.15,68.0,72,20,10.29,few clouds
177,Rio Brilhante,BR,-21.8,-54.55,52.41,93,100,12.8,light rain
178,Cherskiy,RU,68.75,161.3,40.39,70,9,8.08,clear sky
179,Krasnoye,UA,49.91,24.61,62.6,93,1,5.03,clear sky
180,Lata,PT,40.16,-8.33,66.99,96,99,1.01,overcast clouds
181,Bethel,US,41.37,-73.41,82.0,33,1,8.05,clear sky
182,Kodiak,US,57.79,-152.41,63.61,65,0,5.26,clear sky
183,Umri,IN,26.51,78.94,82.26,76,96,13.24,overcast clouds
184,Gazli,UZ,40.13,63.45,72.16,28,0,9.86,clear sky
185,Havre-Saint-Pierre,CA,50.23,-63.6,68.0,49,20,19.46,few clouds
186,Iqaluit,CA,63.75,-68.51,51.8,81,75,6.93,broken clouds
187,Qidong,CN,31.81,121.66,81.0,91,74,1.99,broken clouds
188,Kavieng,PG,-2.57,150.8,82.22,77,21,10.07,light rain
189,Hoi An,VN,15.88,108.33,78.8,88,20,2.24,few clouds
190,Takoradi,GH,4.88,-1.76,75.04,87,83,11.7,broken clouds
191,Meulaboh,ID,4.14,96.13,78.58,85,100,3.11,light rain
192,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds
193,Eyl,SO,7.98,49.82,76.77,79,1,19.42,clear sky
194,Ponta Do Sol,PT,32.67,-17.1,75.2,78,20,3.36,few clouds
195,Mokobeng,BW,-23.0,27.67,52.65,84,0,7.58,clear sky
196,Monterey,US,36.25,-121.25,90.0,56,20,14.99,haze
197,Mabaruma,GY,8.2,-59.78,83.53,76,38,5.75,light rain
198,Pavilosta,LV,56.89,21.19,64.4,88,95,4.05,overcast clouds
199,Aleksandrow Kujawski,PL,52.88,18.69,66.0,72,96,1.12,overcast clouds
200,Arraial Do Cabo,BR,-22.97,-42.03,71.6,83,75,11.41,light intensity drizzle
201,Zawiercie,PL,50.49,19.42,64.0,87,37,2.24,scattered clouds
202,Labuhan,ID,-6.88,112.21,76.06,82,0,10.76,clear sky
203,Vangaindrano,MG,-23.35,47.6,67.32,90,40,0.45,light rain
204,Katsuura,JP,35.13,140.3,78.01,93,0,6.44,clear sky
205,Samarai,PG,-10.62,150.67,75.67,78,21,8.88,few clouds
206,Pevek,RU,69.7,170.31,37.33,86,100,9.57,overcast clouds
207,Verkhnedneprovskiy,RU,54.98,33.35,53.4,93,97,4.65,overcast clouds
208,Catamarca,AR,-28.47,-65.79,59.0,33,9,3.27,clear sky
