City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Manica,FR,71.6,broken clouds,49.0,-1.17,Gite Lily
281,Kununurra,AU,68.0,scattered clouds,-15.77,128.73,Hotel Kununurra
282,Itarema,BR,78.46,broken clouds,-2.92,-39.92,Windvillage
284,Hobyo,SO,76.05,overcast clouds,5.35,48.53,Osmani Hotel
285,Yerkoy,TR,67.46,scattered clouds,39.64,34.47,Yerköy Öğretmenevi
286,Le Port,RE,68.0,broken clouds,-20.94,55.29,Villa Maido
287,Finschhafen,PG,78.8,overcast clouds,-6.6,147.87,Cossam Guest House
289,Butterworth,MY,82.4,few clouds,5.4,100.36,Cititel Penang
291,Koumac,NC,70.54,clear sky,-20.57,164.28,Le Monitel
293,Muroto,JP,82.89,clear sky,33.28,134.15,Oota Ryokan
294,Kariba,ZW,71.11,clear sky,-16.52,28.8,Caribbea Bay Hotel
296,Lumut,MY,78.8,few clouds,4.23,100.63,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
297,Kropotkin,RU,74.75,broken clouds,45.44,40.58,Hotel Europe Kropotkin
301,Mutsu,JP,66.2,light intensity drizzle rain,41.29,141.22,Mutsu Park Hotel
304,Dingle,PH,75.0,overcast clouds,11.0,122.67,Camp Pasica
306,Bonavista,CA,71.01,clear sky,48.65,-53.11,Abbott's Bed & Breakfast
307,Chute-Aux-Outardes,CA,71.6,broken clouds,49.12,-68.4,Camp St-Paul Gite Plein-Air
308,Zambezi,ZM,70.12,scattered clouds,-13.54,23.1,Royal Kutachika Lodge
311,Suicheng,CN,69.76,moderate rain,33.9,117.93,Junyue Hotel
312,Chapais,CA,66.2,broken clouds,49.78,-74.85,Hôtel Opémiska
313,Los Llanos De Aridane,ES,73.99,clear sky,28.66,-17.92,Valle Aridane
317,Boulsa,BF,79.54,light rain,12.67,-0.58,Boulsa tintin
324,Naze,JP,77.0,mist,28.37,129.48,奄美ポートタワーホテル
326,Nouakchott,MR,82.4,broken clouds,18.09,-15.98,Hôtel Iman
328,Kalmunai,LK,79.07,overcast clouds,7.42,81.82,VS Villa
329,Huarmey,PE,66.27,few clouds,-10.07,-78.15,Hotel Miramar
332,Malakal,SS,73.81,clear sky,9.53,31.66,Nile Palace Hotel
335,Port-Gentil,GA,77.0,broken clouds,-0.72,8.78,Fengshui Residence
336,Yueyang,CN,75.63,moderate rain,29.33,113.09,Delong Fortune Hotel
340,Atikokan,CA,73.69,overcast clouds,48.76,-91.62,Camp Quetico
341,Caucaia,BR,80.6,few clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
343,Araure,VE,73.4,few clouds,9.56,-69.21,Hotel Las Majaguas
344,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
348,Idil,TR,75.63,clear sky,37.34,41.89,ÇAKIR APARTMANI
349,Asyut,EG,82.4,clear sky,27.18,31.18,Florence Hotel Assiut
350,Yamada,JP,72.66,clear sky,39.47,141.95,Iroha-ya Inn
351,Melendugno,IT,73.4,clear sky,40.27,18.34,Alba Bed & Breakfast Melendugno
354,Lodwar,KE,85.01,broken clouds,3.12,35.6,Turkwel Lodge
357,Mulleriyawa,LK,82.4,scattered clouds,6.93,79.93,Allspice Villa
358,Peniche,PT,70.0,overcast clouds,39.36,-9.38,Hotel Star inn Peniche
361,Sofiyivka,UA,72.12,overcast clouds,48.05,33.87,"Гостиница ""Софиянка"""
362,Goma,CD,69.89,broken clouds,-1.68,29.22,"Goma, CENTRE D'ACCUEIL CARITAS"
363,Zhaoqing,CN,81.0,overcast clouds,23.05,112.46,七星岩旅游度假区
365,Qinzhou,CN,76.5,light rain,21.95,108.62,Jinjiang Inn Style Qingzhou Walmart
368,Abu Zabad,SD,77.85,overcast clouds,12.35,29.25,محي الدين نوري
370,Isangel,VU,68.0,broken clouds,-19.55,169.27,Volcano Sea View Tree House
371,San Nicolas,PH,79.92,light rain,18.17,120.6,NORTHVIEW Hotel
373,Sillod,IN,71.94,overcast clouds,20.3,75.65,पवन
374,Kita,ML,74.91,light rain,13.03,-9.49,Hôtel Nelson Mandela
376,Lompoc,US,69.8,haze,34.64,-120.46,Holiday Inn Express Lompoc
377,Arani,IN,82.02,overcast clouds,12.67,79.28,KPK LODGE
378,Coahuayana,MX,80.6,broken clouds,18.73,-103.68,Hotel Los Arcos
381,Jaciara,BR,81.48,overcast clouds,-15.97,-54.97,Taba Hotel
384,Atambua,ID,66.96,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
385,Acajutla,SV,86.0,scattered clouds,13.59,-89.83,Stop.
388,Harper,LR,75.67,overcast clouds,4.38,-7.72,Screensaver
390,Kabare,CD,65.25,broken clouds,-2.47,28.82,Hôtel Panorama
393,Gushikawa,JP,80.6,few clouds,26.35,127.87,Kirari Guest House
394,Zhanakorgan,KZ,68.02,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
397,Akyab,MM,79.25,light rain,20.15,92.9,Hotel Memory
398,Veseli Nad Luznici,CZ,66.99,clear sky,49.18,14.7,Hotel Lucia
399,Sabang,ID,82.53,light rain,5.89,95.32,Hotel Citra
400,Morant Bay,JM,82.0,shower rain,17.88,-76.41,Whispering Bamboo Cove Resort
401,Lagoa,PT,70.54,few clouds,39.05,-27.98,Casa Das Faias
402,Japura,ID,73.81,overcast clouds,-0.32,102.35,Rumah mbah Jamah
404,Martapura,ID,73.4,scattered clouds,-3.42,114.85,Montana Hotel Syariah
405,Sao Filipe,CV,76.89,scattered clouds,14.9,-24.5,Tortuga B&B
406,Erzin,TR,80.01,broken clouds,36.96,36.2,Artemis Otel
407,Kuala Terengganu,MY,78.8,few clouds,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
408,Kathmandu,NP,71.6,broken clouds,27.72,85.32,Hotel Shanker Kathmandu
410,Pumiao,CN,75.2,few clouds,22.75,108.48,Mushang Boutique Hotel
411,Pafos,CY,75.2,few clouds,34.77,32.42,Elysium Hotel
415,Chicama,PE,68.59,broken clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
416,Natal,BR,80.6,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
420,Sinnamary,GF,81.88,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
