City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Tautira,PF,2020-08-18 21:40:20,-17.73,-149.15,82.4,65,40,6.93
102,College,US,2020-08-18 21:40:20,64.86,-147.8,70.0,43,40,3.36
103,Pevek,RU,2020-08-18 21:40:21,69.7,170.31,40.75,83,91,10.22
104,Yumen,CN,2020-08-18 21:40:21,40.28,97.2,63.61,27,2,9.17
105,Mujiayingzi,CN,2020-08-18 21:40:21,42.12,118.78,62.19,81,100,1.39
106,Dubbo,AU,2020-08-18 21:40:21,-32.25,148.62,41.0,93,40,3.36
107,Sidhi,IN,2020-08-18 21:40:21,24.42,81.88,77.97,92,28,6.11
108,Saint-Pierre,RE,2020-08-18 21:40:21,-21.34,55.48,66.2,72,39,3.36
109,Ambanja,MG,2020-08-18 21:40:22,-13.68,48.45,70.86,80,66,3.33
110,Airai,TL,2020-08-18 21:40:22,-8.93,125.41,54.46,71,90,2.33
111,Aklavik,CA,2020-08-18 21:40:22,68.22,-135.01,60.8,59,40,11.41
112,Mglin,RU,2020-08-18 21:40:23,53.06,32.85,63.25,88,100,5.03
113,Faanui,PF,2020-08-18 21:40:23,-16.48,-151.75,78.44,77,2,21.14
114,Lar,IN,2020-08-18 21:40:23,26.2,83.97,84.42,76,55,5.64
115,Rawson,AR,2020-08-18 21:40:23,-43.3,-65.1,40.39,68,91,25.77
116,Albany,US,2020-08-18 21:36:56,42.6,-73.97,80.01,49,11,8.95
117,Peniche,PT,2020-08-18 21:40:24,39.36,-9.38,69.01,92,5,4.0
118,Khani,GE,2020-08-18 21:40:24,41.96,42.96,69.8,88,75,5.82
119,Yellowknife,CA,2020-08-18 21:35:32,62.46,-114.35,64.4,77,75,9.17
120,Harper,LR,2020-08-18 21:40:24,4.38,-7.72,75.51,86,80,8.97
121,Tuktoyaktuk,CA,2020-08-18 21:40:25,69.45,-133.04,62.6,51,20,10.29
122,Hobart,AU,2020-08-18 21:36:07,-42.88,147.33,42.8,87,75,4.7
123,Kruisfontein,ZA,2020-08-18 21:40:25,-34.0,24.73,49.3,78,74,18.92
124,Berlevag,NO,2020-08-18 21:36:59,70.86,29.09,50.0,81,75,9.17
125,Dingle,PH,2020-08-18 21:40:25,11.0,122.67,75.54,90,100,3.06
126,Besenyszog,HU,2020-08-18 21:40:26,47.3,20.27,68.0,100,99,4.7
127,Guiratinga,BR,2020-08-18 21:40:26,-16.35,-53.76,86.47,19,0,6.22
128,Georgetown,MY,2020-08-18 21:36:40,5.41,100.34,80.6,94,20,3.36
129,Fort Pierce,US,2020-08-18 21:40:27,27.45,-80.33,91.99,70,20,12.75
130,Dzhebariki-Khaya,RU,2020-08-18 21:40:27,62.22,135.8,50.2,75,81,2.64
131,Butaritari,KI,2020-08-18 21:36:10,3.07,172.79,83.37,70,2,11.05
132,Puerto Ayora,EC,2020-08-18 21:40:28,-0.74,-90.35,77.0,61,20,21.92
133,Krasnoye,UA,2020-08-18 21:40:28,49.91,24.61,66.2,93,75,2.24
134,Am Timan,TD,2020-08-18 21:40:28,11.03,20.28,73.44,90,100,4.05
135,Labuhan,ID,2020-08-18 21:39:30,-6.88,112.21,75.31,81,36,7.34
136,Gadung,PH,2020-08-18 21:40:29,6.8,124.02,79.05,74,97,3.58
137,Wonthaggi,AU,2020-08-18 21:40:29,-38.6,145.59,50.0,86,92,14.18
138,Tokur,RU,2020-08-18 21:40:29,53.13,132.9,44.44,98,92,1.52
139,Busselton,AU,2020-08-18 21:40:29,-33.65,115.33,41.0,77,16,3.76
140,Mount Pleasant,US,2020-08-18 21:37:34,32.79,-79.86,82.99,100,20,10.02
141,Lichinga,MZ,2020-08-18 21:40:30,-13.31,35.24,60.8,67,26,8.05
142,Palu,ID,2020-08-18 21:40:30,-0.89,119.87,73.2,74,0,3.06
143,Okhotsk,RU,2020-08-18 21:40:30,59.38,143.3,53.11,87,100,11.77
144,Mehamn,NO,2020-08-18 21:40:30,71.04,27.85,50.0,87,75,6.93
145,Terra Santa,BR,2020-08-18 21:40:31,-2.1,-56.49,87.01,40,45,1.12
146,Sakakah,SA,2020-08-18 21:40:31,29.97,40.21,80.6,13,1,6.93
147,Isangel,VU,2020-08-18 21:40:31,-19.55,169.27,73.4,83,20,3.36
148,Mar Del Plata,AR,2020-08-18 21:36:33,-38.0,-57.56,50.0,62,98,11.41
149,Batemans Bay,AU,2020-08-18 21:40:32,-35.72,150.18,44.01,100,0,7.54
150,Upernavik,GL,2020-08-18 21:40:32,72.79,-56.15,46.81,67,100,12.91
151,Karasjok,NO,2020-08-18 21:40:32,69.47,25.51,50.0,81,40,16.11
152,Qaanaaq,GL,2020-08-18 21:40:32,77.48,-69.36,43.9,85,100,10.33
153,Henties Bay,NA,2020-08-18 21:40:33,-22.12,14.28,54.0,81,0,2.75
154,Muriwai Beach,NZ,2020-08-18 21:40:33,-36.82,174.45,57.99,97,100,5.99
155,Cape Town,ZA,2020-08-18 21:40:33,-33.93,18.42,53.01,75,40,4.7
156,Stavern,NO,2020-08-18 21:40:33,59.0,10.03,66.0,72,97,4.7
157,Tibati,CM,2020-08-18 21:40:33,6.47,12.63,68.7,95,100,2.01
158,Kavieng,PG,2020-08-18 21:40:34,-2.57,150.8,82.51,76,1,8.93
159,Zlobin,HR,2020-08-18 21:40:34,45.29,14.65,71.6,60,0,8.05
160,Norman Wells,CA,2020-08-18 21:40:34,65.28,-126.83,60.8,67,75,5.82
161,Bowen,AU,2020-08-18 21:40:34,-20.02,148.23,64.99,100,13,9.46
162,Port Elizabeth,ZA,2020-08-18 21:40:35,-33.92,25.57,50.0,93,61,20.8
163,Matara,LK,2020-08-18 21:36:17,5.95,80.54,77.22,90,96,7.54
164,Bontang,ID,2020-08-18 21:40:35,0.13,117.5,75.7,91,98,7.25
165,Ayan,RU,2020-08-18 21:40:35,56.45,138.17,51.55,84,100,10.83
166,Faya,SA,2020-08-18 21:40:35,18.39,42.45,73.4,64,82,5.82
167,Cabo San Lucas,MX,2020-08-18 21:40:36,22.89,-109.91,90.0,55,75,10.29
168,Provideniya,RU,2020-08-18 21:40:36,64.38,-173.3,53.6,71,90,11.18
169,Sandwick,GB,2020-08-18 21:40:36,60.0,-1.25,57.2,100,77,3.36
170,Flin Flon,CA,2020-08-18 21:40:36,54.77,-101.86,82.4,51,40,4.7
171,Bilibino,RU,2020-08-18 21:36:04,68.05,166.44,46.09,66,99,5.68
172,Taoudenni,ML,2020-08-18 21:40:37,22.68,-3.98,105.06,17,3,11.12
173,Katangli,RU,2020-08-18 21:40:37,51.71,143.23,59.47,94,100,13.0
174,Vila Velha,BR,2020-08-18 21:36:11,-20.33,-40.29,75.2,78,20,8.05
175,Flinders,AU,2020-08-18 21:40:38,-34.58,150.86,59.0,84,0,1.99
176,Wajir,KE,2020-08-18 21:40:38,1.75,40.06,75.63,73,41,19.64
177,Hambantota,LK,2020-08-18 21:40:38,6.12,81.12,77.0,100,89,6.93
178,Oskarshamn,SE,2020-08-18 21:40:38,57.26,16.45,66.2,88,37,4.7
179,Pontes E Lacerda,BR,2020-08-18 21:36:15,-15.23,-59.34,90.54,17,1,3.24
